time,velocity,distance
0.025,0.25,0.00625
0.05,0.5,0.025
0.075,0.75,0.05625
0.1,1.0,0.1
0.125,1.25,0.15625
0.15,1.5,0.225
0.175,1.75,0.30625
0.2,2.0,0.4
0.225,2.25,0.50625
0.25,2.5,0.625
0.275,2.75,0.75625
0.3,3.0,0.9
0.325,3.25,1.05625
0.35,3.5,1.225
0.375,3.75,1.40625
0.4,4.0,1.6
0.425,4.25,1.80625
0.45,4.5,2.025
0.475,4.75,2.25625
0.5,5.0,2.5
0.525,5.25,2.75625
0.55,5.5,3.025
0.575,5.75,3.30625
0.6,6.0,3.6
0.625,6.25,3.90625
0.65,6.5,4.225
0.675,6.75,4.55625
0.7,7.0,4.9
0.725,7.25,5.25625
0.75,7.5,5.625
0.775,7.75,6.00625
0.8,8.0,6.4
0.825,8.25,6.80625
0.85,8.5,7.225
0.875,8.75,7.65625
0.9,9.0,8.1
0.925,9.25,8.55625
0.95,9.5,9.025
0.975,9.75,9.50625
1.0,10.0,10.0
1.025,10.25,10.50625
1.05,10.5,11.025
1.075,10.75,11.55625
1.1,11.0,12.1
1.125,11.25,12.65625
1.15,11.5,13.225
1.175,11.75,13.80625
1.2,12.0,14.4
1.225,12.25,15.00625
1.25,12.5,15.625
1.275,12.75,16.25625
1.3,13.0,16.9
1.325,13.25,17.55625
1.35,13.5,18.225
1.375,13.75,18.90625
1.4,14.0,19.6
1.425,14.25,20.30625
1.45,14.5,21.025
1.475,14.75,21.75625
1.5,15.0,22.5
1.525,15.25,23.25625
1.55,15.5,24.025
1.575,15.75,24.80625
1.6,16.0,25.6
1.625,16.25,26.40625
1.65,16.5,27.225
1.675,16.75,28.05625
1.7,17.0,28.9
1.725,17.25,29.75625
1.75,17.5,30.625
1.775,17.75,31.50625
1.8,18.0,32.4
1.825,18.25,33.30625
1.85,18.5,34.225
1.875,18.75,35.15625
1.9,19.0,36.1
1.925,19.25,37.05625
1.95,19.5,38.025
1.975,19.75,39.00625
2.0,20.0,40.0
2.025,20.25,41.00625
2.05,20.5,42.025
2.075,20.75,43.05625
2.1,21.0,44.1
2.125,21.25,45.15625
2.15,21.5,46.225
2.175,21.75,47.30625
2.2,22.0,48.4
2.225,22.25,49.50625
2.25,22.5,50.625
2.275,22.75,51.75625
2.3,23.0,52.9
2.325,23.25,54.05625
2.35,23.5,55.225
2.375,23.75,56.40625
2.4,24.0,57.6
2.425,24.25,58.80625
2.45,24.5,60.025
2.475,24.75,61.25625
2.5,25.0,62.5
2.525,25.25,63.75625
2.55,25.5,65.025
2.575,25.75,66.30625
2.6,26.0,67.6
2.625,26.25,68.90625
2.65,26.5,70.225
2.675,26.75,71.55625
2.7,27.0,72.9
2.725,27.25,74.25625
2.75,27.5,75.625
2.775,27.75,77.00625
2.8,28.0,78.4
2.825,28.25,79.80625
2.85,28.5,81.225
2.875,28.75,82.65625
2.9,29.0,84.1
2.925,29.25,85.55625
2.95,29.5,87.025
2.975,29.75,88.50625
3.0,30.0,90.0
3.025,30.25,91.50625
3.05,30.5,93.025
3.075,30.75,94.55625
3.1,31.0,96.1
3.125,31.25,97.65625
3.15,31.5,99.225
3.175,0.0,100.0
