elapsedtime,totalvelocity,forwardvelocity,fallvelocity,height,distance
0.025,26.0,24.95,0.2,99.9975,0.62375
0.05,26.0,24.9,0.4,99.99,1.24625
0.075,26.0,24.85,0.6,99.9775,1.8675
0.1,26.0,24.8,0.8,99.96,2.4875
0.125,26.0,24.75,1.0,99.9375,3.10625
0.15,26.0,24.7,1.2,99.91,3.72375
0.175,26.0,24.65,1.4,99.8775,4.34
0.2,26.0,24.6,1.6,99.84,4.955
0.225,26.0,24.55,1.8,99.7975,5.56875
0.25,26.0,24.5,2.0,99.75,6.18125
0.275,26.0,24.45,2.2,99.6975,6.7925
0.3,26.0,24.4,2.4,99.64,7.4025
0.325,26.0,24.35,2.6,99.5775,8.01125
0.35,26.0,24.3,2.8,99.51,8.61875
0.375,26.0,24.25,3.0,99.4375,9.225
0.4,26.0,24.2,3.2,99.36,9.83
0.425,26.0,24.15,3.4,99.2775,10.43375
0.45,26.0,24.1,3.6,99.19,11.03625
0.475,26.0,24.05,3.8,99.0975,11.6375
0.5,26.0,24.0,4.0,99.0,12.2375
0.525,26.0,23.95,4.2,98.8975,12.83625
0.55,26.0,23.9,4.4,98.79,13.43375
0.575,26.0,23.85,4.6,98.6775,14.03
0.6,26.0,23.8,4.8,98.56,14.625
0.625,26.0,23.75,5.0,98.4375,15.21875
0.65,26.0,23.7,5.2,98.31,15.81125
0.675,26.0,23.65,5.4,98.1775,16.4025
0.7,26.0,23.6,5.6,98.04,16.9925
0.725,26.0,23.55,5.8,97.8975,17.58125
0.75,26.0,23.5,6.0,97.75,18.16875
0.775,26.0,23.45,6.2,97.5975,18.755
0.8,26.0,23.4,6.4,97.44,19.34
0.825,26.0,23.35,6.6,97.2775,19.92375
0.85,26.0,23.3,6.8,97.11,20.50625
0.875,26.0,23.25,7.0,96.9375,21.0875
0.9,26.0,23.2,7.2,96.76,21.6675
0.925,26.0,23.15,7.4,96.5775,22.24625
0.95,26.0,23.1,7.6,96.39,22.82375
0.975,26.0,23.05,7.8,96.1975,23.4
1.0,26.0,23.0,8.0,96.0,23.975
1.025,26.0,22.95,8.2,95.7975,24.54875
1.05,26.0,22.9,8.4,95.59,25.12125
1.075,26.0,22.85,8.6,95.3775,25.6925
1.1,26.0,22.8,8.8,95.16,26.2625
1.125,26.0,22.75,9.0,94.9375,26.83125
1.15,26.0,22.7,9.2,94.71,27.39875
1.175,26.0,22.65,9.4,94.4775,27.965
1.2,26.0,22.6,9.6,94.24,28.53
1.225,26.0,22.55,9.8,93.9975,29.09375
1.25,26.0,22.5,10.0,93.75,29.65625
1.275,26.0,22.45,10.2,93.4975,30.2175
1.3,26.0,22.4,10.4,93.24,30.7775
1.325,26.0,22.35,10.6,92.9775,31.33625
1.35,26.0,22.3,10.8,92.71,31.89375
1.375,26.0,22.25,11.0,92.4375,32.45
1.4,26.0,22.2,11.2,92.16,33.005
1.425,26.0,22.15,11.4,91.8775,33.55875
1.45,26.0,22.1,11.6,91.59,34.11125
1.475,26.0,22.05,11.8,91.2975,34.6625
